customer_id;lname;fname;city;state_province;postal_code;country;gender;occupation
120;Groome;Christopher;Milwaukie;OR;17817;USA;F;Skilled Manual
121;Hill;Anna;Santa Monica;CA;55288;USA;F;Manual
122;Williams;Ramon;Walla Walla;WA;70289;USA;F;Skilled Manual
123;Masters;Scott;Richmond;CA;24162;USA;F;Manual
124;Brady, Jr.;Joseph;Oakland;CA;55084;USA;F;Professional
125;Gray;Ellen;Bellflower;CA;20209;USA;M;Professional
126;Fielder;Henry;Ballard;WA;90000;USA;F;Professional
127;Finnell;Jeanine;Everett;WA;75196;USA;M;Skilled Manual
128;Schuetz;Ian;Salem;OR;12150;USA;F;Skilled Manual
129;Runyon;Richard;Concord;CA;62507;USA;F;Professional
130;Potter;Linda;Concord;CA;64622;USA;F;Professional
131;Smith;Mary;La Jolla;CA;54848;USA;M;Manual
132;Brumagen;Barbara;Cliffside;BC;23125;Canada;F;Skilled Manual
133;Hamilton;Thelma;Burbank;CA;58058;USA;M;Skilled Manual
134;J Wilbert;Shirley;Spokane;WA;39243;USA;M;Professional
135;Ingram;Jeremy;Tixapan;DF;60792;Mexico;M;Professional
136;Haddix;Sharon;Lynnwood;WA;60392;USA;M;Professional
137;Thomas;Leland;Newport Beach;CA;48103;USA;F;Professional
138;Wilson;Don;Oak Bay;BC;13864;Canada;F;Professional
139;Stovall;Wayne;Coronado;CA;66736;USA;M;Manual
140;Russell;Douglas;La Mesa;CA;71367;USA;M;Skilled Manual
141;Doose;Maureen;Santa Anita;DF;90401;Mexico;M;Skilled Manual
142;Morreale;Ann;Renton;WA;84255;USA;F;Professional
143;Rupert;Sheila;Glendale;CA;69451;USA;F;Manual
144;Pierson;Ashley;Westminster;BC;32697;Canada;M;Skilled Manual
145;Nickels;Ivan;Victoria;BC;56762;Canada;M;Manual
146;Neuhauser;Chad;Victoria;BC;58876;Canada;M;Professional
147;Coke;Ann;Sooke;BC;75395;Canada;M;Professional
148;Scarbrough;Jon;Kirkland;WA;43672;USA;M;Management
149;Martensen;Lillian;Chula Vista;CA;26352;USA;M;Professional
150;McCormick;Mary;Seattle;WA;33498;USA;F;Manual
151;Sparacino;James;San Jose;CA;81339;USA;F;Management
152;Racette;John;Ballard;WA;54647;USA;F;Professional
153;Thompson;Edwardo;Guadalajara;Jalisco;68650;Mexico;F;Manual
154;Warren;Sam;Lebanon;OR;81192;USA;F;Professional
155;Chow-Wang;Shelby;Port Hammond;BC;60991;Canada;M;Professional
156;Wood;Nelly;Sooke;BC;91914;Canada;M;Professional
157;Morgan;Jackie;La Mesa;CA;11949;USA;F;Professional
158;Boje;Gavin;Tacoma;WA;81740;USA;F;Management
159;Tsujimoto;Marlene;Milwaukie;OR;12447;USA;M;Skilled Manual
160;Bouton;RitaIva;Renton;WA;48400;USA;F;Professional
161;Gras;Dell;Grossmont;CA;98756;USA;F;Manual
162;Solano;Christopher;Ladner;BC;18729;Canada;F;Manual
163;Armstrong;George;Los Angeles;CA;18391;USA;F;Skilled Manual
164;Aldred;Kristine;Coronado;CA;85666;USA;F;Skilled Manual
165;Jorgenson;Tom;Milwaukie;OR;42055;USA;M;Professional
166;Turner;Dana;Oak Bay;BC;75493;Canada;F;Manual
167;Zakerski;Terry;Lemon Grove;CA;97042;USA;M;Professional
168;Carlson;David;Walla Walla;WA;96641;USA;F;Manual
169;Symons;Linda;Lebanon;OR;84353;USA;F;Manual
170;Reynolds;Louis;Los Angeles;CA;50114;USA;M;Skilled Manual
171;Ibsen;Maureen;Downey;CA;39870;USA;M;Manual
172;Ciochon;Virginia;West Covina;CA;86178;USA;F;Professional
173;Berger;Steve;Bellingham;WA;27651;USA;F;Manual
174;Bayol;James;San Carlos;CA;24735;USA;F;Management
175;Thumann;Meredith;Metchosin;BC;99312;Canada;F;Professional
176;Jones;Julie;Concord;CA;44269;USA;M;Professional
177;Bury;Janet;Corvallis;OR;94626;USA;M;Skilled Manual
178;Bevan;Onita;Woodburn;OR;96741;USA;M;Manual
179;Monarco;Mary;Lakewood;CA;86967;USA;M;Professional
180;Zingarelli;Vicky;Seattle;WA;55244;USA;F;Professional
181;Valentine;Helen;Bremerton;WA;37925;USA;F;Manual
182;Scheulen;Carol;Everett;WA;71362;USA;F;Management
183;Koon;Virgie;Langford;BC;92912;Canada;M;Professional
184;Amole;Sarah;Oak Bay;BC;92511;Canada;F;Professional
185;Hill;Cecil;Edmonds;WA;80222;USA;M;Manual
186;Tate;Ruth;Imperial Beach;CA;19692;USA;F;Professional
187;Schnurr;Larry;Woodburn;OR;98856;USA;M;Manual
188;Sutton;Jerry;Albany;OR;44872;USA;F;Skilled Manual
189;Mlincek;Kevin;Metchosin;BC;23521;Canada;M;Skilled Manual
190;Tucker;Edward;Corvallis;OR;93312;USA;F;Professional
191;Forham;Kenton;Arcadia;CA;78508;USA;F;Manual
192;Malik;Brittany;Spokane;WA;15462;USA;F;Professional
193;Eldridge;Jeannette;Los Angeles;CA;11910;USA;M;Skilled Manual
194;Anderson;Terry;Mexico City;Mexico;14025;Mexico;F;Skilled Manual
195;Sosa;Loni;N. Vancouver;BC;30543;Canada;F;Professional
196;Mann;Marie;Daly City;CA;97819;USA;M;Manual
197;Prater;Michael;National City;CA;54207;USA;F;Skilled Manual
198;Ansaldo;Karen;Imperial Beach;CA;87645;USA;F;Skilled Manual
199;Caijem;Lance;Richmond;CA;36487;USA;M;Professional
200;Yates;Pamela;Los Angeles;CA;97953;USA;F;Skilled Manual
201;Turner;Iwona;Santa Fe;DF;23798;Mexico;F;Professional
202;Fulcher;Mary;Santa Cruz;CA;62266;USA;F;Manual
203;Berg;Raymond;Newton;BC;16139;Canada;M;Management
204;Lopez;Ramona;N. Vancouver;BC;47062;Canada;M;Management
205;Valdivia;Helen;San Diego;CA;66096;USA;M;Management
206;Cardoza;Beverly;Sedro Woolley;WA;36888;USA;F;Management
207;Hall;Mary;La Jolla;CA;22084;USA;M;Professional
208;Minarick;Rachel;Woodburn;OR;58037;USA;F;Professional
209;Los Olmos;Dorine;Imperial Beach;CA;93945;USA;M;Professional
210;Garner;Dave;Burnaby;BC;84216;Canada;F;Management
211;Leong;Lois;Santa Anita;DF;17364;Mexico;M;Skilled Manual
212;Tate;Larasa;Novato;CA;42719;USA;M;Manual
213;Watson;David;Woodland Hills;CA;25400;USA;F;Manual
214;Frank;James;Ladner;BC;58838;Canada;M;Manual
215;Wood;Alfredo;National City;CA;80387;USA;M;Professional
216;Baird;Dorothy;Olympia;WA;79986;USA;F;Professional
217;Jans;George;Woodburn;OR;67698;USA;M;Skilled Manual
218;Garrison;Bernadine;Santa Anita;DF;33459;Mexico;M;Professional
219;Zeller;Sam;Bellflower;CA;86331;USA;M;Skilled Manual
220;Ace;Dorothy;Torrance;CA;90961;USA;F;Management
221;Trujillo;Adria;Lynnwood;WA;10996;USA;F;Skilled Manual
222;McCown;Bunny;Lemon Grove;CA;80803;USA;F;Professional
223;Miller;Nancy;Sooke;BC;92275;Canada;F;Manual
224;Hollar;Wanda;La Cruz;Sinaloa;29229;Mexico;F;Skilled Manual
225;Wallin;Barbara;Beaverton;OR;79586;USA;M;Manual
226;Bruha;Michael;W. Linn;OR;27502;USA;F;Professional
227;Suggs;Michael;Burbank;CA;17728;USA;F;Manual
228;Turner;Kenneth;El Cajon;CA;85004;USA;F;Professional
229;Griffin;Lois;Renton;WA;67685;USA;F;Management
230;Guardamondo;Robert;Bellingham;WA;74830;USA;M;Manual
231;West;Bryan;Oak Bay;BC;23672;Canada;F;Clerical
232;Welsh;Vicki;Ladner;BC;23272;Canada;F;Management
233;McCollum;Harvey;Sedro Woolley;WA;10983;USA;M;Professional
234;Cramer;Mary;La Mesa;CA;49452;USA;M;Manual
235;Fike;Linda;W. Linn;OR;29617;USA;M;Professional
236;Adair;Sam;Oregon City;OR;34247;USA;M;Skilled Manual
237;Kolosso;Jerry;Royal Oak;BC;53281;Canada;M;Management
238;Carpenter;Todd;Milwaukie;OR;24073;USA;F;Manual
239;Watkins;Lisa;Concord;CA;92694;USA;M;Professional
240;Barrera;Kevin;Glendale;CA;45222;USA;M;Skilled Manual
241;Price;Maria;San Andres;DF;95578;Mexico;M;Professional
242;Rosemont;Flossie;San Andres;DF;97693;Mexico;M;Manual
243;McMenama;Betty;Burnaby;BC;15628;Canada;M;Manual
244;Lyons;Max;Merida;Yucatan;82904;Mexico;F;Professional
245;Sandy Kurtz;Christine;Vancouver;BC;39293;Canada;M;Professional
246;Santry;Rita;Lincoln Acres;CA;72730;USA;M;Manual
247;Quigle;Catherine;Tlaxiaco;Oaxaca;94279;Mexico;F;Professional
248;Christensen;Patricia;Tixapan;DF;93879;Mexico;M;Clerical
249;Mercurio;Anne;Richmond;BC;81590;Canada;F;Manual
250;McGrath;Louis;Lake Oswego;OR;47352;USA;M;Manual
251;Wright;Rachael;La Mesa;CA;12255;USA;F;Skilled Manual
252;Skuce;Richard;Chula Vista;CA;32147;USA;M;Skilled Manual
253;Coleman;George;Daly City;CA;51181;USA;F;Professional
254;Barnes;Lois;Metchosin;BC;21973;Canada;M;Skilled Manual
255;Camille;Jacky;Torrance;CA;71696;USA;M;Manual
256;Allenbach;Michelle;Haney;BC;43122;Canada;M;Manual
257;Smith;Franklin;National City;CA;93479;USA;F;Manual
258;Minker;John;Coronado;CA;95593;USA;M;Manual
259;Jimenez;Sarah;Cliffside;BC;11498;Canada;M;Manual
260;Malaby;Darwin;W. Linn;OR;78774;USA;M;Management
261;Caldwell;Pamela;Spring Valley;CA;61454;USA;M;Professional
262;Tinder;Roger;Westminster;BC;94892;Canada;F;Professional
263;Kropff;Joseph;Guadalajara;Jalisco;17442;Mexico;F;Skilled Manual
264;Worsham;Mimi;Sedro Woolley;WA;17042;USA;F;Manual
265;Bernal;Ruth;Lake Oswego;OR;4753;USA;F;Skilled Manual
266;Zimmerman;Yolanda;Cliffside;BC;69514;Canada;M;Manual
267;Evans;Sandra;Altadena;CA;23387;USA;F;Professional
268;Bowman;Virginia;San Gabriel;CA;28017;USA;M;Skilled Manual
269;Coleman;Mary;Novato;CA;47051;USA;F;Manual
270;Chrisulis;Kevin;San Diego;CA;17843;USA;M;Management
271;Whitcomb;Lee;Ladner;BC;30396;Canada;M;Manual
272;Turcios;Brian;Hidalgo;Zacatecas;65284;Mexico;F;Skilled Manual
273;Confetti;Jennifer;Long Beach;CA;89348;USA;F;Manual
274;Takemura;Geneva;Albany;OR;91463;USA;M;Skilled Manual
275;Campbell;Lynn;Torrance;CA;89834;USA;F;Skilled Manual
276;Smith;Nina;Ballard;WA;20735;USA;M;Professional
277;Vuong;Darrell;Bellingham;WA;34155;USA;M;Management
278;Abbott;Eric;Edmonds;WA;10561;USA;F;Manual
279;Liff;Doris;Cliffside;BC;58402;Canada;F;Management
280;Steinberg;John;Lebanon;OR;31710;USA;F;Manual
281;Megel;Jerry;Bellflower;CA;45713;USA;F;Management
282;Styles;John;Spring Valley;CA;84181;USA;F;Professional
283;Head;Shirley;Novato;CA;38054;USA;M;Skilled Manual
284;Story;James;San Carlos;CA;68977;USA;F;Skilled Manual
285;Boone;Jean;Woodland Hills;CA;88011;USA;F;Clerical
286;Mccoy;Ralph;Camacho;Zacatecas;58803;Mexico;F;Professional
287;Tuck;Anne;Arcadia;CA;43999;USA;F;Professional
288;Sincich;Joy;Downey;CA;79952;USA;F;Manual
289;Jameson;Bertha;Los Angeles;CA;31309;USA;F;Manual
290;Sanchez;Charles;Everett;WA;33424;USA;M;Management
291;Parks;Wanda;N. Vancouver;BC;49943;Canada;M;Professional
292;Vij;Nathan;Daly City;CA;18219;USA;M;Professional
293;Zugschwert;Corinne;Walla Walla;WA;98284;USA;M;Manual
294;Adams;Michelle;Imperial Beach;CA;32723;USA;F;Manual
295;Steen;Donahue;Richmond;CA;54272;USA;M;Professional
296;Baker;John;Los Angeles;CA;53872;USA;F;Professional
297;Pearl;Keith;Newton;BC;41583;Canada;F;Manual
298;Roundtree;Sarah;Merida;Yucatan;73444;Mexico;F;Professional
299;Bollin;Lawrence;Ladner;BC;60216;Canada;F;Management
300;Hopkins;Fred;Port Hammond;BC;64846;Canada;M;Manual
301;Vicknair;Caroline;Coronado;CA;83880;USA;F;Skilled Manual
302;McPhearson;Nancy;Marysville;WA;80965;USA;F;Skilled Manual
303;Albright;Anna;Fremont;CA;66160;USA;M;Skilled Manual
304;Thomas;Phyllis;Albany;OR;31145;USA;M;Management
305;Perko;Tina;Langley;BC;53471;Canada;F;Professional
306;McCarty;Jane;Langley;BC;55586;Canada;M;Professional
307;Bent;Scot;Sedro Woolley;WA;45813;USA;F;Professional
308;Chambers;Pat;Burlingame;CA;14089;USA;F;Professional
309;Bellifa;Stanley;Sooke;BC;87695;Canada;M;Management
310;Johnson;Samuel;San Andres;DF;22133;Mexico;F;Professional
311;Vrins;Janice;Pomona;CA;43683;USA;M;Manual
312;Mcdonald;Christinia;Downey;CA;43282;USA;M;Skilled Manual
313;Weldon;Ole;Palo Alto;CA;30993;USA;M;Manual
314;Choin;Ruth;Everett;WA;69462;USA;F;Skilled Manual
315;Crow;Sharon;Acapulco;Guerrero;49627;Mexico;M;Manual
316;Avalos;Robert;Tlaxiaco;Oaxaca;54257;Mexico;M;Professional
317;Jacobsen;Eric;Redmond;WA;73291;USA;M;Management
318;Castro;Pamela;Haney;BC;44083;Canada;F;Manual
319;Caldwell;Sylvia;Burien;WA;29279;USA;F;Management
320;Reed;Russell;Mexico City;Mexico;65232;Mexico;F;Professional
321;Kelley;Victor;Merida;Yucatan;16590;Mexico;M;Professional
322;Taylor;Damon;Hidalgo;Zacatecas;18704;Mexico;M;Skilled Manual
323;Robinson;Rebecca;Lemon Grove;CA;35223;USA;F;Skilled Manual
324;Thomsen;Andrea;Ladner;BC;35005;Canada;M;Clerical
325;Baldwin;Douglas;Burien;WA;10857;USA;F;Manual
326;Yuhasz;Ian;Anacortes;WA;44295;USA;F;Skilled Manual
327;Carmody;Jovita;Royal Oak;BC;92137;Canada;F;Professional
328;Gonzales;Lynn;Oregon City;OR;65444;USA;M;Professional
329;Allen;Phyllis;San Gabriel;CA;79447;USA;F;Manual
330;Caprio;Johnny;Westminster;BC;18917;Canada;F;Manual
331;Slaven;Lanna;Mill Valley;CA;71789;USA;M;Manual
332;Ortiz;Fred;Palo Alto;CA;37125;USA;M;Manual
333;Beaver;John;Newport Beach;CA;22746;USA;F;Professional
334;Rhodes;Albert;Orizaba;Veracruz;92537;Mexico;F;Professional
335;Kaffer;Scott;Tacoma;WA;77733;USA;F;Skilled Manual
336;Bales;Jennifer;Bellflower;CA;14687;USA;M;Manual
337;Stotka;Louis;Santa Anita;DF;65044;Mexico;F;Manual
338;Maynard;Sandra;Bellingham;WA;67158;USA;M;Manual
339;Tuell;Gracia;Langley;BC;83677;Canada;F;Management
340;Burnett;Timothy;Acapulco;Guerrero;25662;Mexico;F;Management
341;Haugh;James;Olympia;WA;83425;USA;M;Skilled Manual
342;Moberly;Paula;La Mesa;CA;93185;USA;F;Skilled Manual
343;Meyer;Eric;Colma;CA;30868;USA;F;Professional
344;Orona;Gloria;Santa Anita;DF;30467;Mexico;M;Management
345;Warmack;Ruth;Burnaby;BC;18178;Canada;F;Skilled Manual
346;Wall;Joanna;Salem;OR;82939;USA;M;Manual
347;Appelbaum;Sabria;Bellingham;WA;36812;USA;F;Manual
348;Kung;Jeffrey;Sedro Woolley;WA;41442;USA;M;Professional
349;Wilson;Gloria;Guadalajara;Jalisco;60476;Mexico;F;Professional
350;Tuffield;Phyllis;Long Beach;CA;57560;USA;F;Professional
351;Ping;Patricia;Tlaxiaco;Oaxaca;42756;Mexico;M;Professional
352;Shepard;David;W. Linn;OR;78709;USA;F;Management
353;Bailey;James;Richmond;BC;30067;Canada;F;Manual
354;Chestnut;Susan;Yakima;WA;32182;USA;F;Management
355;Toone;Delia;Bremerton;WA;22408;USA;F;Manual
356;Armstrong;Thomas;Mill Valley;CA;89684;USA;F;Skilled Manual
357;Billstrom;Mary;Ladner;BC;72364;Canada;M;Professional
358;Stotka;Robert;Sooke;BC;31770;Canada;F;Manual
359;Johnson;Danielle;Imperial Beach;CA;79612;USA;F;Professional
360;Lepro;Bonnie;La Mesa;CA;79211;USA;M;Manual
361;Elliott;Carol;Milwaukie;OR;66922;USA;F;Professional
362;Steelman;Shanay;Shawnee;BC;63923;Canada;F;Manual
363;Adams;Frances;San Gabriel;CA;85556;USA;F;Professional
364;Poorbaugh;Alma;Glendale;CA;90186;USA;F;Skilled Manual
365;Hasty;Neal;Burlingame;CA;10221;USA;F;Professional
366;Betsekas;Steven;National City;CA;80012;USA;M;Professional
367;Ziegler;Arvid;Port Hammond;BC;65208;Canada;F;Professional
368;Weyerhaeuser;Ann;Shawnee;BC;21626;Canada;F;Professional
369;Robinson;Dorothy;Altadena;CA;52519;USA;F;Manual
370;Brunner;June;Santa Monica;CA;54634;USA;M;Manual
371;Frazier;Judith;Berkeley;CA;71152;USA;M;Professional
372;Rector;Michelle;Bellingham;WA;39429;USA;M;Manual
373;Caldwell;Mari;Corvallis;OR;94816;USA;F;Manual
374;Gonzales;Linda;Lynnwood;WA;29255;USA;F;Professional
375;Monitor;Alan;Newton;BC;43020;Canada;F;Professional
376;Lewin;Elsie;Lake Oswego;OR;42620;USA;M;Professional
377;Desalvo;Bev;Beverly Hills;CA;30331;USA;F;Professional
378;Alpuerto;Oscar;Spokane;WA;95091;USA;M;Manual
379;Marshall;Cecelia;Fremont;CA;48964;USA;M;Skilled Manual
380;Bockenkamp;Gabriel;Berkeley;CA;79887;USA;M;Skilled Manual
381;Kesterson;Alice;Glendale;CA;98921;USA;F;Skilled Manual
382;Alexander;J. Phillip;Richmond;BC;69713;Canada;M;Manual
383;Mendoza;R. Morgan;Novato;CA;54909;USA;M;Skilled Manual
384;Herrick;Pam;Anacortes;WA;90861;USA;M;Skilled Manual
385;McCoy;James;Langford;BC;42219;Canada;F;Management
386;Thoreson;Rossane;Langford;BC;44334;Canada;F;Professional
387;Snowden;Victoria;Walla Walla;WA;34561;USA;M;Skilled Manual
388;Blanton;Donald;Arcadia;CA;28375;USA;F;Professional
389;Gibbens;Cornett;Santa Fe;DF;84517;Mexico;M;Professional
390;Alcorn;Paul;Fremont;CA;18956;USA;M;Manual
391;Miller;Virginia;Bellflower;CA;40505;USA;M;Professional
392;Campen;Henry;Salem;OR;90784;USA;F;Management
393;Coffman;Connie;San Diego;CA;78495;USA;M;Skilled Manual
394;Bustamante;Jared;Concord;CA;44256;USA;M;Manual
395;Eldridge;Carla;San Diego;CA;97128;USA;F;Professional
396;Sipsy;Barbara;National City;CA;27594;USA;F;Management
397;Weimer;Dorothy;San Andres;DF;21793;Mexico;M;Skilled Manual
398;Irwin;Richard;Lebanon;OR;91585;USA;M;Manual
399;Son;Alma;Burbank;CA;76780;USA;M;Professional
400;Brandon;Cornelius;Yakima;WA;40026;USA;F;Management
401;Quintana;Monica;Vancouver;BC;64091;Canada;M;Skilled Manual
402;Colon;John;Guadalajara;Jalisco;66206;Mexico;F;Management
403;Barlow;Brenda;Oak Bay;BC;82725;Canada;M;Skilled Manual
404;Adina;Ronald;Woodland Hills;CA;51001;USA;M;Professional
405;Bohling;Michael;Bellflower;CA;33682;USA;F;Skilled Manual
406;Wheeler;Sam;West Covina;CA;40827;USA;M;Manual
407;Swearengin;Abraham;Everett;WA;88669;USA;M;Management
408;Givens;David;Santa Monica;CA;61976;USA;F;Professional
409;Beanston;Glenna;La Jolla;CA;92873;USA;M;Skilled Manual
410;Bruno;Dirk;Sooke;BC;32342;Canada;M;Professional
411;Berger;Alexander;Redmond;WA;85214;USA;M;Manual
